income,infant
3292,11.7
281,180
110,125
123,100
335,65.1
75,400
1000,71.5
507,46
295,32
2298,25.7
4103,11.6
77,50
70,160
1240,51.7
81,109.6
3312,10.1
344,58
210,114
631,13.6
1760,27.8
5596,9.6
347,38.6
406,48.8
5040,20.4
754,34.1
334,21.7
210,27
1530,650
5523,17.6
169,55
3010,300
100,124.3
434,76.3
4102,11.3
560,28.1
4751,16.8
2963,12.8
727,26.2
2009,17.8
79,216
3403,12.9
230,67.9
302,79.1
70,200
93,60.6
100,137
799,40.4
435,153
1256,15.1
134,160
334,21.3
82,180
125,129.4
684,60.9
217,63.7
732,26.2
319,58.2
68,150
426,62.8
120,162.5
284,39.3
197,159.2
50,120
2526,22.1
1191,59.6
61,132.9
3350,23.7
310,259
250,78.5
3346,17
130,148.3
85,158
73,200
120,102
400,86.3
387,138
130,100
956,44.8
102,124.3
406,43.3
96,80
220,58
477,10.2
425,170